s,carat,cut,color,clarity,depth,table,price,x,y,z
18879,1.02,Premium,G,VVS2,62.6,59.0,7741,6.46,6.41,4.03
18887,1.0,Ideal,G,VVS2,60.8,57.0,7744,6.45,6.47,3.93
18915,1.0,Premium,G,VVS2,61.6,61.0,7762,6.38,6.35,3.92
18922,1.01,Good,E,VVS2,64.3,58.0,7769,6.34,6.28,4.06
18925,1.42,Ideal,J,VVS2,61.9,55.0,7773,7.19,7.24,4.47
18930,1.0,Very Good,E,VVS2,61.9,61.0,7777,6.38,6.42,3.96
18962,1.02,Good,G,VVS2,63.1,59.0,7800,6.38,6.45,4.05
18969,1.01,Ideal,G,VVS2,62.4,59.0,7806,6.34,6.41,3.98
18998,1.01,Premium,G,VVS2,61.9,59.0,7821,6.41,6.45,3.98
18999,1.07,Ideal,H,VVS2,61.3,57.0,7821,6.6,6.62,4.05
19020,1.01,Very Good,F,VVS2,60.7,59.0,7835,6.4,6.46,3.9
19022,0.27,Ideal,F,VVS2,61.4,57.0,620,4.17,4.2,2.57
19023,0.27,Ideal,E,VVS2,60.5,57.0,620,4.18,4.25,2.55
19024,0.27,Ideal,E,VVS2,61.5,57.0,620,4.14,4.18,2.56
19028,0.35,Good,H,VVS2,60.4,56.0,620,4.57,4.59,2.77
19030,0.27,Very Good,E,VVS2,63.8,54.0,621,4.06,4.09,2.6
19047,0.3,Very Good,E,VVS2,61.1,62.0,622,4.28,4.33,2.63
19048,0.3,Very Good,E,VVS2,62.4,58.0,622,4.28,4.31,2.68
19049,0.3,Very Good,E,VVS2,63.2,56.0,622,4.23,4.28,2.69
19050,0.3,Very Good,E,VVS2,59.7,57.0,622,4.37,4.43,2.62
19052,1.06,Ideal,G,VVS2,62.9,56.0,7836,6.6,6.56,4.14
19058,1.5,Very Good,J,VVS2,62.8,62.0,7840,7.22,7.25,4.54
19060,1.0,Premium,G,VVS2,62.8,59.0,7840,6.43,6.38,4.02
19064,1.01,Very Good,G,VVS2,60.8,59.0,7847,6.42,6.5,3.93
19077,1.0,Ideal,F,VVS2,61.5,55.0,7849,6.46,6.41,3.96
19093,1.08,Very Good,G,VVS2,63.1,56.0,7862,6.58,6.51,4.13
19095,1.01,Premium,G,VVS2,60.7,58.0,7862,6.52,6.49,3.95
19106,1.13,Premium,G,VVS2,61.4,58.0,7875,6.68,6.73,4.12
19108,1.03,Ideal,G,VVS2,61.6,57.0,7876,6.48,6.51,4.0
19112,1.2,Ideal,I,VVS2,61.5,56.0,7877,6.79,6.84,4.19
19115,1.18,Premium,G,VVS2,61.0,58.0,7881,6.79,6.84,4.16
19118,1.01,Very Good,G,VVS2,63.3,57.0,7885,6.31,6.36,4.01
19119,1.0,Ideal,G,VVS2,59.8,54.0,7885,6.58,6.54,3.92
19120,1.0,Ideal,G,VVS2,60.8,57.0,7885,6.47,6.45,3.93
19122,1.33,Ideal,I,VVS2,62.2,56.0,7887,7.01,7.04,4.37
19130,1.02,Ideal,G,VVS2,61.1,57.0,7898,6.48,6.51,3.97
19133,1.06,Ideal,G,VVS2,61.0,57.0,7900,6.55,6.57,4.0
19154,1.01,Good,F,VVS2,62.7,61.0,7915,6.3,6.34,3.96
19161,1.0,Fair,E,VVS2,65.4,56.0,7918,6.28,6.2,4.08
19182,1.06,Ideal,G,VVS2,61.6,56.3,7934,6.53,6.56,4.03
19183,1.01,Ideal,G,VVS2,60.9,54.0,7934,6.5,6.53,3.97
19187,1.21,Ideal,I,VVS2,61.3,56.0,7938,6.83,6.87,4.2
19189,1.01,Ideal,G,VVS2,62.5,56.0,7941,6.38,6.41,4.0
19191,1.02,Very Good,G,VVS2,63.1,59.0,7942,6.45,6.38,4.05
19200,1.0,Very Good,G,VVS2,62.7,57.0,7950,6.32,6.37,3.98
19207,1.04,Premium,G,VVS2,61.8,58.0,7953,6.47,6.51,4.01
19210,1.21,Ideal,H,VVS2,60.4,57.0,7954,6.9,6.93,4.18
19224,1.01,Premium,G,VVS2,61.9,59.0,7964,6.45,6.41,3.98
19240,1.07,Very Good,G,VVS2,62.8,57.0,7975,6.46,6.56,4.09
19245,1.0,Ideal,G,VVS2,62.8,57.0,7979,6.37,6.43,4.02
19254,1.5,Premium,J,VVS2,62.8,62.0,7983,7.25,7.22,4.54
19256,1.24,Ideal,G,VVS2,61.9,56.0,7986,6.87,6.83,4.24
19281,1.06,Premium,G,VVS2,59.6,58.0,8003,6.61,6.65,3.95
19282,1.23,Premium,H,VVS2,62.8,56.0,8004,6.9,6.82,4.31
19294,1.04,Ideal,G,VVS2,62.1,55.1,8012,6.5,6.51,4.04
19297,1.22,Ideal,H,VVS2,61.8,57.0,8014,6.85,6.89,4.25
19298,1.22,Ideal,H,VVS2,62.2,56.0,8014,6.83,6.87,4.26
19299,1.22,Ideal,H,VVS2,62.7,54.0,8014,6.77,6.83,4.27
19301,1.01,Premium,G,VVS2,61.2,58.0,8016,6.45,6.49,3.96
19305,1.13,Premium,G,VVS2,61.4,58.0,8019,6.73,6.68,4.12
19309,1.03,Ideal,G,VVS2,61.6,57.0,8020,6.51,6.48,4.0
19316,1.18,Premium,G,VVS2,61.0,58.0,8025,6.84,6.79,4.16
19317,1.01,Ideal,G,VVS2,61.1,57.0,8029,6.49,6.54,3.98
19318,1.01,Ideal,G,VVS2,60.9,56.0,8029,6.51,6.55,3.98
19327,1.01,Ideal,G,VVS2,62.2,56.0,8034,6.41,6.46,4.0
19331,1.25,Ideal,H,VVS2,60.6,57.0,8036,7.0,6.97,4.23
19341,1.02,Ideal,G,VVS2,61.1,57.0,8042,6.51,6.48,3.97
19344,1.06,Ideal,G,VVS2,61.0,57.0,8044,6.57,6.55,4.0
19351,0.3,Ideal,E,VVS2,60.7,57.0,622,4.36,4.41,2.66
19355,0.3,Good,E,VVS2,63.0,58.0,622,4.27,4.34,2.71
19356,0.3,Good,E,VVS2,61.1,61.0,622,4.32,4.36,2.65
19357,0.3,Good,E,VVS2,59.5,59.0,622,4.35,4.39,2.6
19358,0.27,Very Good,E,VVS2,63.0,56.0,622,4.12,4.14,2.6
19360,0.27,Very Good,D,VVS2,62.3,57.0,622,4.13,4.15,2.58
19361,0.27,Ideal,E,VVS2,61.8,57.0,622,4.12,4.16,2.56
19362,0.27,Ideal,E,VVS2,62.2,55.0,622,4.12,4.17,2.58
19364,0.27,Ideal,E,VVS2,62.1,57.0,622,4.13,4.15,2.57
19365,0.27,Very Good,E,VVS2,59.0,59.0,622,4.24,4.27,2.51
19371,0.27,Ideal,D,VVS2,62.6,56.0,622,4.13,4.15,2.59
19372,0.27,Ideal,E,VVS2,62.5,57.0,622,4.1,4.13,2.57
19374,0.27,Very Good,D,VVS2,62.2,59.0,622,4.08,4.12,2.55
19376,0.27,Ideal,E,VVS2,62.0,55.0,622,4.12,4.14,2.56
19384,1.47,Very Good,J,VVS2,62.6,60.0,8055,7.17,7.24,4.51
19392,1.09,Ideal,G,VVS2,61.5,55.0,8057,6.66,6.61,4.08
19410,1.01,Premium,D,VVS2,62.2,59.0,8065,6.36,6.3,3.94
19416,1.24,Ideal,H,VVS2,62.0,56.0,8069,6.92,6.86,4.27
19429,1.34,Ideal,I,VVS2,61.4,56.0,8079,7.07,7.09,4.35
19430,1.23,Ideal,H,VVS2,62.0,55.0,8079,6.85,6.9,4.26
19431,1.0,Good,F,VVS2,60.7,62.0,8079,6.36,6.4,3.87
19451,1.04,Premium,G,VVS2,61.8,58.0,8098,6.51,6.47,4.01
19458,1.01,Ideal,G,VVS2,62.2,54.0,8104,6.41,6.48,4.01
19462,1.02,Ideal,G,VVS2,59.2,58.0,8107,6.56,6.62,3.9
19485,1.07,Ideal,G,VVS2,62.8,57.0,8120,6.56,6.46,4.09
19498,1.21,Ideal,H,VVS2,61.3,57.0,8131,6.92,6.87,4.23
19506,1.0,Very Good,G,VVS2,63.0,54.0,8138,6.37,6.43,4.03
19513,1.07,Ideal,G,VVS2,62.3,54.0,8145,6.54,6.56,4.08
19517,1.09,Ideal,G,VVS2,62.0,54.8,8149,6.6,6.63,4.1
19518,1.06,Premium,G,VVS2,59.6,58.0,8149,6.65,6.61,3.95
19530,1.01,Premium,G,VVS2,61.2,58.0,8163,6.49,6.45,3.96
19540,1.0,Very Good,F,VVS2,63.2,56.0,8172,6.35,6.3,4.0
19565,1.13,Ideal,G,VVS2,60.7,57.0,8192,6.74,6.81,4.11
19571,1.52,Premium,J,VVS2,58.3,62.0,8202,7.61,7.49,4.4
19581,1.01,Very Good,F,VVS2,59.8,58.0,8212,6.47,6.55,3.89
19582,1.07,Ideal,G,VVS2,62.8,54.0,8212,6.51,6.55,4.1
19588,1.0,Very Good,F,VVS2,61.4,58.0,8216,6.36,6.41,3.92
19604,1.5,Ideal,H,VVS2,61.3,56.0,8224,7.37,7.28,4.49
19608,1.0,Very Good,F,VVS2,61.1,55.0,8227,6.49,6.51,3.97
19610,1.59,Ideal,J,VVS2,60.3,57.0,8227,7.65,7.58,4.59
19619,1.07,Ideal,G,VVS2,62.4,55.6,8235,6.48,6.55,4.07
19622,1.0,Ideal,G,VVS2,61.2,56.0,8239,6.47,6.5,3.97
19633,1.01,Ideal,G,VVS2,62.2,54.0,8252,6.48,6.41,4.01
19654,1.01,Very Good,F,VVS2,63.0,56.0,8265,6.34,6.4,4.01
19662,1.39,Ideal,I,VVS2,61.6,53.0,8271,7.21,7.22,4.44
19667,1.5,Good,J,VVS2,63.3,57.0,8276,7.25,7.28,4.6
19674,1.09,Ideal,G,VVS2,62.5,56.0,8282,6.54,6.58,4.1
19684,0.27,Ideal,H,VVS2,62.1,57.0,623,4.15,4.1,2.56
19685,0.27,Premium,H,VVS2,60.7,59.0,623,4.21,4.19,2.55
19725,1.09,Ideal,G,VVS2,61.2,57.0,8295,6.62,6.66,4.06
19753,1.01,Premium,F,VVS2,61.8,59.0,8319,6.46,6.42,3.98
19784,1.15,Very Good,G,VVS2,58.4,59.0,8349,6.84,6.92,4.02
19789,1.06,Ideal,G,VVS2,61.7,56.0,8358,6.59,6.56,4.06
19792,1.16,Very Good,G,VVS2,62.3,59.0,8361,6.69,6.72,4.18
19798,1.09,Ideal,G,VVS2,60.6,57.0,8364,6.62,6.7,4.05
19810,1.0,Good,D,VVS2,60.2,62.0,8374,6.42,6.46,3.88
19811,1.03,Very Good,F,VVS2,61.3,57.0,8375,6.49,6.53,3.99
19819,1.03,Ideal,G,VVS2,60.7,57.0,8385,6.5,6.58,3.97
19824,1.5,Very Good,J,VVS2,63.3,56.0,8391,7.18,7.29,4.58
19826,1.07,Ideal,G,VVS2,62.4,54.0,8393,6.51,6.56,4.08
19835,1.0,Premium,F,VVS2,61.2,60.0,8400,6.43,6.38,3.92
19837,1.01,Very Good,E,VVS2,61.6,58.0,8401,6.4,6.46,3.96
19838,1.02,Ideal,G,VVS2,62.1,57.0,8401,6.43,6.45,4.0
19839,1.02,Ideal,G,VVS2,61.6,57.0,8401,6.45,6.47,3.98
19840,1.02,Ideal,G,VVS2,62.7,57.0,8401,6.41,6.45,4.03
19857,1.01,Good,E,VVS2,63.9,58.0,8415,6.31,6.37,4.05
19874,1.52,Premium,J,VVS2,58.3,62.0,8427,7.61,7.49,4.4
19875,1.5,Very Good,J,VVS2,63.3,57.0,8427,7.28,7.25,4.6
19879,1.12,Good,F,VVS2,57.9,57.0,8430,6.86,6.83,3.96
19888,1.24,Very Good,H,VVS2,61.3,55.0,8438,6.94,6.96,4.26
19897,1.02,Premium,F,VVS2,61.5,60.0,8445,6.5,6.45,3.98
19899,1.0,Premium,F,VVS2,59.9,60.0,8448,6.46,6.5,3.88
19907,1.09,Premium,G,VVS2,59.5,61.0,8454,6.74,6.7,4.0
19919,1.4,Premium,I,VVS2,62.0,58.0,8467,7.22,7.16,4.46
19921,1.0,Very Good,F,VVS2,63.2,56.0,8467,6.42,6.37,4.04
19923,1.03,Premium,D,VVS2,61.7,59.0,8469,6.43,6.48,3.98
19925,1.01,Premium,F,VVS2,61.8,59.0,8470,6.46,6.42,3.98
19934,1.03,Ideal,G,VVS2,61.2,57.0,8483,6.48,6.52,3.98
19946,1.07,Ideal,G,VVS2,61.8,55.0,8491,6.57,6.61,4.07
19954,1.15,Premium,G,VVS2,58.4,59.0,8501,6.92,6.84,4.02
19961,1.23,Ideal,H,VVS2,61.6,57.0,8509,6.87,6.92,4.25
19981,1.01,Very Good,F,VVS2,61.9,56.0,8525,6.42,6.48,3.99
19983,1.03,Premium,F,VVS2,61.3,57.0,8527,6.53,6.49,3.99
19991,1.01,Ideal,F,VVS2,61.0,57.0,8532,6.46,6.52,3.96
19992,1.01,Very Good,F,VVS2,61.8,55.0,8532,6.36,6.45,3.96
19993,1.01,Premium,F,VVS2,62.0,58.0,8532,6.36,6.45,3.97
19994,1.01,Ideal,F,VVS2,61.8,56.0,8532,6.46,6.49,4.0
19998,1.05,Very Good,F,VVS2,61.3,59.0,8537,6.48,6.56,4.0
20055,0.31,Ideal,H,VVS2,62.6,56.0,625,4.32,4.37,2.72
20060,0.31,Ideal,H,VVS2,62.2,57.0,625,4.32,4.36,2.7
20068,0.31,Ideal,H,VVS2,61.1,56.0,625,4.33,4.37,2.66
20073,1.51,Very Good,J,VVS2,62.6,63.0,8550,7.24,7.29,4.55
20077,1.0,Very Good,F,VVS2,60.0,62.0,8553,6.43,6.46,3.87
20078,1.0,Very Good,F,VVS2,62.9,55.0,8555,6.29,6.36,3.98
20088,1.12,Very Good,G,VVS2,62.6,59.0,8564,6.58,6.61,4.13
20093,1.01,Good,E,VVS2,63.9,58.0,8569,6.37,6.31,4.05
20106,1.01,Premium,F,VVS2,59.3,60.0,8579,6.52,6.5,3.86
20129,1.04,Ideal,G,VVS2,62.5,55.0,8590,6.53,6.47,4.06
20131,1.15,Ideal,G,VVS2,62.5,53.0,8592,6.69,6.72,4.18
20132,1.12,Ideal,G,VVS2,62.5,56.0,8592,6.59,6.66,4.14
20147,1.0,Premium,F,VVS2,59.9,60.0,8602,6.5,6.46,3.88
20148,1.0,Premium,F,VVS2,61.3,55.0,8602,6.44,6.41,3.94
20150,1.5,Premium,J,VVS2,61.8,60.0,8603,7.33,7.36,4.54
20155,1.04,Premium,F,VVS2,62.1,56.0,8610,6.54,6.48,4.04
20161,1.02,Premium,F,VVS2,60.9,59.0,8616,6.44,6.56,3.96
20163,1.06,Ideal,F,VVS2,61.1,57.0,8619,6.57,6.62,4.03
20167,1.5,Very Good,J,VVS2,62.9,58.0,8622,7.25,7.31,4.58
20169,1.03,Premium,D,VVS2,61.7,59.0,8623,6.48,6.43,3.98
20173,1.06,Ideal,G,VVS2,60.1,57.0,8626,6.61,6.66,3.99
20174,1.02,Very Good,F,VVS2,59.4,59.0,8627,6.58,6.69,3.94
20198,1.0,Very Good,E,VVS2,61.0,62.0,8638,6.4,6.46,3.92
20205,1.35,Very Good,H,VVS2,63.1,56.0,8644,6.95,7.03,4.41
20208,1.05,Ideal,G,VVS2,62.2,56.0,8645,6.49,6.53,4.05
20209,1.05,Ideal,G,VVS2,62.5,55.0,8645,6.49,6.53,4.07
20210,1.05,Ideal,G,VVS2,61.9,57.0,8645,6.51,6.54,4.04
20213,1.16,Ideal,G,VVS2,62.0,56.0,8646,6.71,6.75,4.17
20214,1.01,Good,F,VVS2,60.3,62.0,8647,6.47,6.54,3.92
20220,1.54,Premium,J,VVS2,61.1,59.0,8652,7.45,7.4,4.54
20233,1.01,Ideal,G,VVS2,61.6,54.0,8662,6.51,6.55,4.02
20260,1.01,Premium,F,VVS2,62.0,58.0,8688,6.45,6.36,3.97
20261,1.01,Ideal,F,VVS2,61.0,57.0,8688,6.52,6.46,3.96
20263,1.01,Premium,F,VVS2,61.8,55.0,8688,6.45,6.36,3.96
20264,1.01,Ideal,F,VVS2,61.8,56.0,8688,6.49,6.46,4.0
20265,1.19,Very Good,G,VVS2,61.8,59.0,8689,6.75,6.77,4.18
20271,1.05,Premium,F,VVS2,61.3,59.0,8693,6.56,6.48,4.0
20277,1.03,Ideal,F,VVS2,61.6,56.0,8701,6.46,6.53,4.0
20278,1.12,Ideal,G,VVS2,62.1,54.8,8701,6.64,6.66,4.13
20283,1.05,Premium,G,VVS2,59.5,61.0,8702,6.69,6.63,3.96
20288,1.51,Very Good,J,VVS2,62.6,63.0,8706,7.29,7.24,4.55
20291,1.07,Ideal,G,VVS2,61.5,56.0,8707,6.58,6.6,4.05
20292,0.91,Ideal,D,VVS2,62.0,54.0,8707,6.2,6.25,3.86
20299,1.2,Very Good,G,VVS2,62.4,56.0,8712,6.68,6.74,4.19
20300,1.5,Very Good,J,VVS2,61.5,60.0,8712,7.27,7.31,4.48
20303,1.01,Fair,D,VVS2,65.4,57.0,8716,6.2,6.16,4.04
20308,1.12,Premium,G,VVS2,62.6,59.0,8721,6.61,6.58,4.13
20309,1.04,Premium,F,VVS2,59.2,58.0,8722,6.68,6.66,3.95
20311,1.06,Ideal,G,VVS2,61.4,57.0,8726,6.52,6.55,4.01
20312,1.06,Ideal,G,VVS2,60.3,57.0,8726,6.61,6.68,4.01
20318,1.5,Good,I,VVS2,65.4,59.0,8732,7.09,7.14,4.65
20346,1.15,Ideal,F,VVS2,62.1,55.0,8743,6.69,6.74,4.17
20347,1.14,Ideal,G,VVS2,62.3,55.0,8743,6.64,6.72,4.18
20350,1.02,Very Good,E,VVS2,60.3,58.0,8745,6.53,6.57,3.95
20352,1.04,Very Good,E,VVS2,62.4,58.0,8748,6.46,6.4,4.01
20355,1.0,Good,E,VVS2,63.5,55.0,8750,6.31,6.36,4.02
20356,1.01,Good,E,VVS2,63.3,58.0,8752,6.31,6.39,4.02
20362,1.09,Ideal,G,VVS2,61.8,56.0,8753,6.58,6.62,4.08
20369,1.5,Premium,J,VVS2,61.8,60.0,8760,7.36,7.33,4.54
20377,0.31,Ideal,H,VVS2,62.4,57.0,625,4.32,4.36,2.71
20379,0.31,Very Good,H,VVS2,61.4,58.0,625,4.32,4.37,2.67
20383,0.31,Good,H,VVS2,63.6,56.0,625,4.28,4.33,2.74
20384,0.31,Very Good,H,VVS2,62.8,57.0,625,4.3,4.33,2.71
20388,0.31,Premium,H,VVS2,61.2,59.0,625,4.34,4.38,2.67
20393,0.31,Good,H,VVS2,63.7,55.0,625,4.28,4.32,2.74
20397,0.31,Premium,H,VVS2,62.4,59.0,625,4.31,4.35,2.7
20398,0.31,Ideal,H,VVS2,62.5,55.0,625,4.34,4.37,2.72
20399,0.31,Premium,H,VVS2,60.6,60.0,625,4.34,4.38,2.64
20400,0.31,Ideal,H,VVS2,61.5,56.0,625,4.35,4.37,2.68
20405,1.51,Premium,J,VVS2,62.6,59.0,8770,7.31,7.33,4.58
20406,1.51,Premium,J,VVS2,62.5,59.0,8770,7.29,7.34,4.57
20407,1.51,Very Good,J,VVS2,62.9,58.0,8770,7.21,7.33,4.57
20411,1.0,Very Good,F,VVS2,62.3,57.0,8772,6.34,6.41,3.97
20412,1.12,Ideal,G,VVS2,62.0,55.0,8773,6.67,6.69,4.14
20413,1.02,Premium,F,VVS2,60.9,59.0,8774,6.56,6.44,3.96
20419,1.06,Ideal,F,VVS2,61.1,57.0,8776,6.62,6.57,4.03
20432,1.04,Very Good,F,VVS2,62.5,58.0,8785,6.37,6.46,4.01
20434,1.51,Very Good,J,VVS2,60.6,58.0,8789,7.36,7.4,4.47
20435,1.25,Ideal,H,VVS2,60.8,57.0,8789,6.95,6.99,4.24
20456,1.01,Very Good,E,VVS2,63.4,57.0,8797,6.45,6.33,4.05
20461,1.16,Ideal,G,VVS2,62.0,56.0,8803,6.75,6.71,4.17
20468,1.23,Premium,G,VVS2,59.6,59.0,8810,6.95,6.98,4.15
20470,1.03,Ideal,E,VVS2,61.9,57.0,8811,6.46,6.5,4.01
20512,1.11,Ideal,G,VVS2,63.1,57.0,8843,6.55,6.6,4.15
20515,1.02,Ideal,G,VVS2,62.1,54.0,8847,6.54,6.51,4.05
20518,1.01,Very Good,E,VVS2,63.1,57.0,8849,6.31,6.39,4.01
20535,1.56,Premium,I,VVS2,60.5,58.0,8858,7.53,7.45,4.53
20536,1.11,Ideal,G,VVS2,61.8,57.0,8858,6.67,6.64,4.11
20539,1.03,Ideal,F,VVS2,61.6,56.0,8860,6.53,6.46,4.0
20541,1.52,Good,J,VVS2,57.9,62.0,8861,7.61,7.63,4.41
20554,1.05,Ideal,F,VVS2,61.9,57.0,8870,6.5,6.52,4.03
20557,1.5,Premium,J,VVS2,61.5,60.0,8870,7.31,7.27,4.48
20560,1.2,Premium,G,VVS2,62.4,56.0,8870,6.74,6.68,4.19
20578,1.0,Premium,E,VVS2,62.7,60.0,8888,6.32,6.34,3.97
20579,1.0,Premium,E,VVS2,61.6,59.0,8888,6.42,6.46,3.97
20581,1.13,Ideal,G,VVS2,61.5,57.0,8889,6.67,6.71,4.12
20598,1.15,Ideal,F,VVS2,62.1,55.0,8903,6.74,6.69,4.17
20601,1.01,Premium,F,VVS2,59.9,58.0,8905,6.54,6.49,3.9
20607,1.0,Very Good,E,VVS2,63.5,55.0,8910,6.36,6.31,4.02
20613,1.14,Very Good,F,VVS2,63.3,56.0,8912,6.56,6.71,4.2
20614,1.01,Very Good,E,VVS2,63.3,58.0,8912,6.39,6.31,4.02
20625,1.01,Very Good,F,VVS2,62.3,56.0,8922,6.38,6.42,3.99
20626,1.01,Very Good,F,VVS2,61.8,58.0,8922,6.44,6.48,3.99
20629,1.0,Premium,F,VVS2,60.6,54.0,8924,6.56,6.52,3.96
20630,1.0,Premium,F,VVS2,60.6,54.0,8924,6.56,6.52,3.96
20638,1.51,Premium,J,VVS2,62.5,59.0,8930,7.34,7.29,4.57
20639,1.51,Premium,J,VVS2,62.9,58.0,8930,7.33,7.21,4.57
20640,1.51,Premium,J,VVS2,62.6,59.0,8930,7.33,7.31,4.58
20644,1.1,Ideal,G,VVS2,62.0,56.0,8932,6.68,6.64,4.13
20650,1.02,Very Good,F,VVS2,62.9,59.0,8940,6.37,6.42,4.02
20651,1.27,Very Good,G,VVS2,62.5,57.0,8941,6.86,6.91,4.3
20653,1.26,Ideal,H,VVS2,61.8,56.0,8941,6.9,6.93,4.28
20654,1.01,Good,D,VVS2,63.5,57.0,8943,6.32,6.35,4.02
20655,1.01,Good,D,VVS2,63.7,57.0,8943,6.29,6.36,4.03
20657,1.04,Premium,F,VVS2,62.5,58.0,8946,6.46,6.37,4.01
20659,1.17,Ideal,G,VVS2,61.7,55.0,8947,6.74,6.77,4.17
20661,1.0,Very Good,F,VVS2,63.0,59.0,8950,6.33,6.36,4.0
20662,1.21,Ideal,H,VVS2,61.3,56.0,8950,6.85,6.89,4.21
20670,1.06,Ideal,F,VVS2,62.1,57.0,8954,6.5,6.54,4.05
20673,1.3,Ideal,H,VVS2,61.5,55.0,8954,7.07,7.03,4.34
20676,1.01,Good,F,VVS2,61.1,65.0,8956,6.38,6.42,3.91
20678,1.0,Ideal,F,VVS2,61.7,53.0,8958,6.46,6.48,3.99
20683,1.0,Good,E,VVS2,57.8,61.0,8960,6.55,6.46,3.76
20692,1.09,Ideal,G,VVS2,61.5,57.0,8970,6.62,6.65,4.08
20693,1.23,Premium,G,VVS2,59.6,59.0,8971,6.98,6.95,4.15
20694,1.01,Ideal,F,VVS2,61.6,56.0,8971,6.43,6.49,3.98
20696,1.03,Ideal,E,VVS2,61.9,57.0,8972,6.5,6.46,4.01
20700,1.22,Very Good,G,VVS2,61.9,58.0,8975,6.84,6.85,4.24
20702,0.31,Very Good,H,VVS2,61.9,58.0,625,4.3,4.33,2.67
20705,0.31,Ideal,H,VVS2,62.3,55.0,625,4.36,4.37,2.72
20707,0.31,Premium,H,VVS2,61.4,59.0,625,4.35,4.38,2.68
20709,0.31,Premium,H,VVS2,62.6,60.0,625,4.29,4.33,2.7
20716,0.31,Very Good,H,VVS2,61.9,58.0,625,4.33,4.36,2.69
20717,0.31,Ideal,H,VVS2,62.4,56.0,625,4.34,4.38,2.72
20720,0.31,Very Good,H,VVS2,62.6,58.0,625,4.28,4.31,2.69
20735,1.01,Good,E,VVS2,63.3,55.0,8976,6.36,6.41,4.04
20745,1.05,Ideal,E,VVS2,62.4,56.0,8982,6.49,6.52,4.06
20755,1.19,Good,G,VVS2,61.1,61.0,8995,6.86,6.83,4.18
20759,1.03,Very Good,F,VVS2,61.5,55.0,8998,6.48,6.57,4.01
20762,1.05,Ideal,G,VVS2,60.4,54.0,9000,6.6,6.65,4.0
20764,1.01,Very Good,E,VVS2,61.5,58.0,9002,6.4,6.44,3.95
20768,1.04,Ideal,F,VVS2,61.2,57.0,9005,6.5,6.53,3.99
20778,1.14,Ideal,G,VVS2,61.0,56.0,9013,6.74,6.76,4.12
20779,1.01,Premium,F,VVS2,62.1,52.0,9013,6.5,6.45,4.02
20780,1.0,Ideal,F,VVS2,59.7,60.0,9014,6.48,6.52,3.88
20800,1.05,Ideal,F,VVS2,61.9,57.0,9032,6.52,6.5,4.03
20813,1.01,Ideal,F,VVS2,59.6,60.0,9040,6.56,6.52,3.9
20816,1.02,Very Good,F,VVS2,61.0,54.0,9043,6.53,6.58,4.0
20821,1.1,Very Good,G,VVS2,60.5,55.7,9050,6.7,6.76,4.07
20822,1.0,Premium,E,VVS2,61.6,59.0,9050,6.46,6.42,3.97
20823,1.0,Premium,E,VVS2,62.7,60.0,9050,6.34,6.32,3.97
20825,1.1,Ideal,G,VVS2,61.6,56.0,9051,6.62,6.69,4.1
20836,1.01,Very Good,F,VVS2,61.1,58.0,9065,6.43,6.47,3.94
20837,1.01,Premium,F,VVS2,60.4,59.0,9065,6.45,6.49,3.91
20840,1.15,Very Good,G,VVS2,63.2,58.0,9068,6.68,6.61,4.2
20845,1.14,Ideal,F,VVS2,61.4,57.0,9070,6.76,6.72,4.14
20856,1.01,Very Good,E,VVS2,60.2,60.0,9076,6.46,6.5,3.9
20865,1.06,Premium,F,VVS2,61.8,58.0,9082,6.54,6.5,4.03
20870,1.01,Very Good,E,VVS2,62.8,56.0,9089,6.34,6.39,4.0
20874,1.05,Ideal,F,VVS2,62.1,54.0,9092,6.52,6.55,4.06
20881,1.02,Premium,F,VVS2,62.9,59.0,9103,6.42,6.37,4.02
20890,1.17,Ideal,G,VVS2,61.7,55.0,9110,6.77,6.74,4.17
20892,1.04,Ideal,F,VVS2,62.2,56.0,9115,6.46,6.53,4.04
20904,1.06,Ideal,F,VVS2,62.1,57.0,9118,6.54,6.5,4.05
20917,1.03,Ideal,F,VVS2,61.9,53.0,9131,6.52,6.54,4.04
20918,1.03,Ideal,F,VVS2,62.1,55.0,9131,6.47,6.5,4.03
20921,1.18,Premium,G,VVS2,61.6,58.0,9137,6.77,6.8,4.18
20923,1.05,Ideal,F,VVS2,61.5,57.0,9138,6.51,6.57,4.02
20927,1.0,Very Good,E,VVS2,59.5,59.0,9139,6.54,6.58,3.9
20928,1.0,Very Good,E,VVS2,61.6,60.0,9139,6.41,6.45,3.96
20931,1.0,Premium,F,VVS2,61.5,59.0,9139,6.4,6.38,3.93
20934,1.01,Very Good,E,VVS2,63.3,55.0,9140,6.41,6.36,4.04
20938,1.05,Ideal,E,VVS2,62.4,56.0,9146,6.52,6.49,4.06
20939,1.16,Premium,G,VVS2,60.0,59.0,9146,6.89,6.82,4.11
20940,1.1,Ideal,G,VVS2,61.7,56.0,9148,6.67,6.63,4.1
20945,1.26,Very Good,G,VVS2,62.1,58.0,9158,6.92,6.83,4.27
20952,1.2,Very Good,G,VVS2,60.7,60.0,9169,6.8,6.84,4.14
20953,1.07,Ideal,G,VVS2,61.9,56.0,9169,6.6,6.62,4.09
20954,1.04,Ideal,F,VVS2,61.2,57.0,9169,6.53,6.5,3.99
20957,1.54,Ideal,J,VVS2,62.8,58.0,9171,7.32,7.37,4.61
